trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-211.22948104222874,"{0: 6, 1: 4, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.02, 'e': 0.9607894391523232}",20,0,-81.75765511372606,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9417645335842487}",20,0,-123.94188338951388,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.9231163463866358}",30,0,-99.1574625056545,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.02, 'e': 0.9048374180359595}",25,0,-169.63897682980942,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
6,False,"{'a': 0.02, 'e': 0.8869204367171575}",20,0,-120.9432516927345,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.8693582353988059}",20,0,-100.14234571514992,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.8521437889662113}",25,6,-98.84483578506168,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 1}",1
9,False,"{'a': 0.02, 'e': 0.835270211411272}",35,0,-154.1952245754494,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,0,-100.76437676050068,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.8025187979624785}",30,12,1.9524098461038795,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.02, 'e': 0.7866278610665535}",25,0,-142.27651815763411,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.02, 'e': 0.7710515858035663}",20,0,-35.17490159717385,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.7557837414557255}",20,0,-101.61619240162976,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.02, 'e': 0.7408182206817179}",20,0,-102.77810262427181,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.02, 'e': 0.7261490370736909}",20,8,-18.984023777865044,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.02, 'e': 0.7117703227626097}",25,0,-99.05167451138061,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.02, 'e': 0.697676326071031}",30,0,-39.41813662945402,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.02, 'e': 0.6838614092123558}",30,3,-0.043156605844862916,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.02, 'e': 0.6703200460356393}",20,11,-91.75534918038998,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 0.02, 'e': 0.6570468198150567}",20,0,-22.10178495219596,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.6440364210831414}",20,0,-95.43046394644361,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.02, 'e': 0.631283645506926}",25,3,-7.038332343951209,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.02, 'e': 0.6187833918061408}",20,0,-45.9394640539651,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.02, 'e': 0.6065306597126334}",25,8,-65.08485559157641,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.02, 'e': 0.5945205479701944}",20,6,-66.29047343838135,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 1}",1
27,False,"{'a': 0.02, 'e': 0.5827482523739896}",25,0,-94.63827197027942,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
28,False,"{'a': 0.02, 'e': 0.5712090638488149}",30,0,-60.27072871764527,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.02, 'e': 0.559898366565402}",20,14,-2.4775707823236095,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.02, 'e': 0.5488116360940265}",20,8,-82.79605676963189,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
31,False,"{'a': 0.02, 'e': 0.5379444375946745}",25,0,-28.670506281538824,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.02, 'e': 0.5272924240430485}",25,0,-50.679153819946926,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.02, 'e': 0.5168513344916992}",25,6,-92.08566234277411,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 2}",1
34,False,"{'a': 0.02, 'e': 0.5066169923655895}",35,12,-83.66641750915021,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 1}",1
35,False,"{'a': 0.02, 'e': 0.49658530379140947}",25,11,-46.09465120831115,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
36,False,"{'a': 0.02, 'e': 0.4867522559599717}",30,0,-34.64151058113034,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
37,False,"{'a': 0.02, 'e': 0.4771139155210344}",25,3,16.888506699240136,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.02, 'e': 0.46766642700990924}",20,8,-84.2588335998407,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
39,False,"{'a': 0.02, 'e': 0.4584060113052235}",20,0,-18.69267311591722,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.02, 'e': 0.44932896411722156}",20,5,-63.91619490067069,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.02, 'e': 0.44043165450599925}",30,0,-82.4920610179688,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
42,False,"{'a': 0.02, 'e': 0.43171052342907973}",20,0,-70.9731583101544,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
43,False,"{'a': 0.02, 'e': 0.4231620823177488}",25,0,-103.7930584164638,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.02, 'e': 0.4147829116815814}",30,10,-24.74620745608017,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.02, 'e': 0.4065696597405991}",20,0,-22.015469685862158,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.02, 'e': 0.39851904108451414}",20,6,-31.685510955389418,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.02, 'e': 0.3906278353585211}",30,15,-31.862316233631475,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
48,False,"{'a': 0.02, 'e': 0.38289288597511206}",20,6,6.2529150940777045,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.02, 'e': 0.37531109885139957}",20,11,17.175073936707122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.36787944117144233}",20,6,-10.077397271148598,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.3605949401730783}",25,11,-46.4178858508204,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.02, 'e': 0.35345468195878016}",25,3,-24.825099443785053,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.3464558103300574}",20,0,14.684528067595195,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.02, 'e': 0.3395955256449391}",20,0,-14.74564727433363,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.02, 'e': 0.33287108369807955}",25,11,13.262483974339546,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,0,4.2131726492011286,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,6,-24.562534335872396,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,0,5.045432992745628,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.02, 'e': 0.30727873860113125}",25,7,-2.4771325880446105,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.30119421191220214}",20,7,13.048523888363452,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
