trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.2500719620419,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.27171339130103,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.11680536037173,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.72195600303994,"{0: 12, 1: 1, 2: 7, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.30150643569493,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.64322569429868,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.03559965955756,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.24531092631287,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.30487573964457,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.54829352161654,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.15452551576664,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.14495306663062,"{0: 15, 1: 1, 2: 11, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.32946283811323,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-249.5707710181112,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.12956332191368,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.6535295715579,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.834311133593943,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.10883877331436,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.08477849549473,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.85864207011516,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.28368698794391,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
